Наименование;ИНН;Полное наименование;
"ООО ""МОЗАИКА ГУРМЭ""";7725841589;"ООО ""МОЗАИКА ГУРМЭ""";9039615,762
"ООО ""НАТУРПРО""";5013039251;"ООО""НАТУРПРО""";9109094,786
"ООО ""Нудел Продукт""";5829042107;"ООО ""Нудел Продукт""";9178573,81
"ООО ""Оливиер""";7736327946;"ООО ""Оливиер""";9248052,833
"ООО ""Орион""";7816590886;"ООО ""Орион""";9317531,857
"ООО ""ОТАРД""";2722082750;"ООО ""ОТАРД""";9387010,881
"ООО ""Полимеральфа""";2724192460;"ООО ""Полимеральфа""";9456489,905
"ООО ""Премиум Фуд""";7743764785;"ООО ""Премиум Фуд""";9525968,929
"ООО ""Приправка.РУ""";3123210250;"ООО ""Приправка.РУ""";9595447,952
"ООО ""ПродТорг Поставка""";5047129760;"ООО ""ПродТорг Поставка""";9664926,976
"ООО ""Региональная Логистика""";2724148510;"ООО ""Региональная логистика""";9734406
"ООО ""РосАгроТрейд""";5038053628;"ООО ""РосАгроТрейд""";9803885,024
"ООО ""СТАРФУД""";7743123615;"ООО ""СТАРФУД""";9873364,048
"ООО ""СТЕЛЛАЖНЫЕ СИСТЕМЫ""";2222868000;"ООО ""СТЕЛЛАЖНЫЕ СИСТЕМЫ""";9942843,071
"ООО ""СТРОЙПОСТАВКА""";2722036592;"ООО ""СТРОЙПОСТАВКА""";10012322,1
"ООО ""ТД Купеческий""";7726747726;"ООО""ТД Купеческий""";10081801,12
"ООО ""ТД Чайка""";7720756386;"ООО ""ТД Чайка""";10151280,14
"ООО ""ТД"" "" Диамир К""";7722573155;"ООО ""ТД"" ""Диамир К""";10220759,17
"ООО ""Транспортные технологии""";7716878261;"ООО ""Транспортные технологии""";10290238,19
"ООО ""УСПЕХ""";2723126351;"ООО ""УСПЕХ""";10359717,21
"ООО ""Успех""";7728447245;"ООО ""Успех""";10429196,24
"ООО ""ФИТОНЦИД""";2720002397;"ООО ""ФИТОНЦИД""";10498675,26
"ООО ""Форвард-5""";7706094003;"ООО""Форвард-5""";10568154,29
"ООО ""ХАБАВТОФИНСЕРВИС""";2722033256;"ООО ""ХАБАВТОФИНСЕРВИС""";10637633,31
"ООО ""ШТОРМАВТО""";2801198275;"ООО ""ШТОРМАВТО""";10707112,33
"ООО ""Элит-Новафуд""";7707794424;"ООО ""Элит-Новафуд""";10776591,36
"ООО ""ЭСАПОВ""";2309170650;"ООО ""ЭСАПОВ""";10846070,38
ООО ЕСПЕЕ ЛИМИТЕД;7729483422;ООО ЕСПЕЕ ЛИМИТЕД;10915549,4
ООО МОЛОКО;7723485021;ООО МОЛОКО;10985028,43
"ООО Торговая компания ""Велесторг""";7801585178;"ООО ""Торговая компания ""Велесторг""";11054507,45
"ООО ТЭК ""ТриалКом""";5018109551;"ООО ТЭК ""ТриалКом""";11123986,48
ООО тЭК ТриалКом;5018109551;ООО тЭК ТриалКом;11193465,5
"ООО"" ВОК групп""";7725682233;"ООО"" ВОК групп""";11262944,52
ОПТ-РЕГИОН ООО;2721088855;"ООО ""ОПТ-РЕГИОН""";11332423,55
ПАРТНЕР - ДВ ООО;2538062600;"ООО ""ПАРТНЕР - ДВ""";11401902,57
ПВ ГРУП ООО;7721700700;"ООО ""ПВ ГРУП""";11471381,6
ПЕЛИКАН ООО;2722048478;"ООО ""ПЕЛИКАН""";11540860,62
ПРК;7716061744;"ООО ""ПРК""";11610339,64
ПРОБИОТИК + ООО;5077023641;"ООО ""ПРОБИОТИК +""";11679818,67
ПРОГРЕСС ООО;3460058982;"ООО ""ПРОГРЕСС""";11749297,69
ПРОД-АКШН ООО;7743247297;"ООО ""ПРОД-АКШН""";11818776,71
ПРОСНЕК ООО;2336023969;"ООО ""ПРОСНЕК"" ";11888255,74
Прошянский коньячный завод ООО;5029113285;"ООО ""Прошянский коньячный завод"" ";11957734,76
РВК ООО;7415096341;"ООО ""РВК"" ";12027213,79
Ревал ООО;7724734545;"ООО ""Ревал""";12096692,81
Ревал ООО;7724734545;"ООО ""Ревал""";12166171,83
РЕФ-КОМ ООО ;2724220163;"ООО ""РЕФ-КОМ""";12235650,86
РН-КАРТ ООО;7743529527;"ООО ""РН-КАРТ""";12305129,88
РОЯ ООО;5040121096;"ООО ""РОЯ""";12374608,9
РУС-ФУДС ООО;3906087461;"ООО ""РУС-ФУДС"" ";12444087,93
САКС ИГРУШКИ;7728632760;"ООО""САКС ИГРУШКИ""";12513566,95
СБМ груп - Сибирь ООО;5410010026;"ООО ""СБМ груп - Сибирь""";12583045,98
СЕВКО ЛОГИСТИК ООО;7724842205;СЕВКО ЛОГИСТИК ООО;12652525
СЕЗОНЫ ООО;7730177620;"ООО ""Сезоны"" ";12722004,02
СЕМУШКА ООО;9715205490;"ООО ""СЕМУШКА"" ";12791483,05
СЛАДКИЙ СТИЛЬ ООО;7721481705;"ООО ""СЛАДКИЙ СТИЛЬ""";12860962,07
СМАРТ;2724211754;ООО СМАРТ;12930441,1
СМАРТ-АРОМАТИКА ООО;7810611811;"ООО ""СМАРТ-АРОМАТИКА""";12999920,12
СОФОС ООО;7726336532;"ООО ""СОФОС""";13069399,14
"Спецавтохозяйство г.Хабаровска""";2724211786;"АО ""Спецавтохозяйство г.Хабаровска""";13138878,17
СПЕЦ-СЕРВИС НН ООО;5257112280;"ООО ""СПЕЦ-СЕРВИС НН""";13208357,19
СТАЛКЕР-КОНСАЛТИНГ ООО;7735104584;"ООО ""СТАЛКЕР КОНСАЛТИНГ"" ";13277836,21
Стандарт ООО;1832059537;"ООО ""Стандарт"" ";13347315,24
СТОЛИЧНЫЕ ПОСТАВКИ ООО;7715899269;"ООО ""СТОЛИЧНЫЕ ПОСТАВКИ""";13416794,26
СТРЕЛЕЦ ООО;7716826859;"ООО ""СТРЕЛЕЦ""";13486273,29
ТД ГЕЛИОС ООО;7814500365;"ООО ""ТД ГЕЛИОС""";13555752,31
ТД Сима-ленд ООО;6679104850;"ООО ""ТД Сима-ленд"" ";13625231,33
ТД УПАКОВКА ЮГА ООО;2312231230;ТД УПАКОВКА ЮГА ООО;13694710,36
ТехЧасть ООО;2724152851;"ООО ""ТехЧасть"" ";13764189,38
ТК Рейл Континент Хабаровск ООО;2721228076;"ООО ""ТК Рейл Континент Хабаровск""";13833668,4
ТОКИО ООО;2722093167;"ООО ""ТОКИО"" ";13903147,43
ТОРГОВЫЙ ДОМ КОСТА АО;7727102872;"АО ""ТОРГОВЫЙ ДОМ КОСТА""";13972626,45
Торговый Дом Лабиринт;7721279665;Торговый Дом Лабиринт;14042105,48
Торговый дом Лактика;5321122553;Торговый дом Лактика;14111584,5
Торговый Дом ПРОДУКТОВАЯ МОЗАИКА ООО;5007094286;"ООО Торговый Дом ""ПРОДУКТОВАЯ МОЗАИКА"" ";14181063,52
ТОРГОВЫЙ ДОМ РУБЛЕВСКИЙ ООО;5047042767;"ООО ""ТОРГОВЫЙ ДОМ ""РУБЛЕВСКИЙ""";14250542,55
Торговый Дом СТ ООО;7715952378;"ООО ""Торговый Дом СТ""";14320021,57
Торговый Дом ФораФарм ООО ;7702614540;Торговый Дом ФораФарм ООО ;14389500,6
"Торговый дом Черкизово"" ООО";5032046575;"ООО ""Торговый дом Черкизово"""" ";14458979,62
Транс Трек-ДВ ООО;2538094472;"ООО ""ТРАНС ТРЕК-ДВ"" ";14528458,64
Трансбург ДВ ООО;2724182239;"ООО ""Трансбург ДВ"" ";14597937,67
ТрансКонтейнер ПАО;7708591995;"ПАО ""Центр по перевозке грузов в контейнерах ""ТрансКонтейнер""";14667416,69
ТРАНС-ЭКСПРЕСС ООО;5047058654;"ООО ""ТРАНС-ЭКСПРЕСС""";14736895,71
ТРТ ООО;5018165556;"ООО ""ТРТ""";14806374,74
ТРЭЙДЛАЙН ООО;7729742797;ТРЭЙДЛАЙН ООО;14875853,76
ТУТТОФУД+ ООО;7720768141;"ООО ""ТУТТОФУД+""";14945332,79
УК БАЗИС ГРУПП ООО;7721553004;"ООО ""УК ""Базис групп"" ";15014811,81
УЛЬЯНКИНА МАСТЕРСКАЯ ООО;5042145110;"ООО ""УЛЬЯНКИНА МАСТЕРСКАЯ""";15084290,83
Универсальные пищевые технологии ООО;5043019372;"ООО ""Универсальные пищевые технологии""";15153769,86
Фабрик косметик ООО;0274907224;"ООО ""Фабрик косметик"" ";15223248,88
ФАБРИКА ПРИРОДЫ ООО;7704406715;ФАБРИКА ПРИРОДЫ ООО;15292727,9
Фармация АО;2536037790;Фармация АО;15362206,93
"ФГУП  ""Почта России""";7724261610;"ФГУП  ""Почта России""";15431685,95
ФИТМАРТ ООО;7709491993;"ООО ""Фитмарт"" ";15501164,98
ФЛАГМАН ООО;7716937816;"ООО ""ФЛАГМАН""";15570644
Форвард-Логистик ООО;7718644910;Форвард-Логистик ООО;15640123,02
ФОРТ-РОСС ДЕВЕЛОПМЕНТ ООО;2720043080;"ООО ""ФОРТ-РОСС ДЕВЕЛОПМЕНТ""";15709602,05
ФРЕГАТФУДС ООО;7716794565;"ООО ""ФРЕГАТФУДС""";15779081,07
ФРОСТМО АО;7721583672;"АО ""ФРОСТМО""";15848560,1
Фруктовая почта АО;7727571916;"АО  ""Фруктовая почта""";15918039,12
Фурсов Антон Николаевич;225800099490;ИП Фурсов Антон Николаевич;15987518,14
Царицынские соленья ООО;3435126220;"ООО ""Царицынские соленья ";16056997,17
ЧОО АЛЬФА ООО;2721196811;"ООО ""ЧОО АЛЬФА""";16126476,19
ЭКОФУД ООО;7751085000;"ООО ""ЭКОФУД""";16195955,21
ЭЛЬ ПАРАДОР ООО;7703794409;"ООО ""ЭЛЬ ПАРАДОР""";16265434,24
Энкампа Рус ООО;2722048478;"ООО ""ЭНКАМПА РУС"" ";16334913,26
Эсапов ООО;2309170650;Эсапов ООО;16404392,29

